taxonID	type	description	language	source
0399D61F5764FFC1FE25FB8EFDAA56DF.taxon	materials_examined	Material examined. Lectotype female in NHMUK.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F576BFFC3FE37FA0DFC7B5060.taxon	description	(Figs 23, 648, 649, 658, 659, 887, 998, 1107)	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F576BFFC3FE37FA0DFC7B5060.taxon	diagnosis	Diagnosis (female). Antenna with a weak constriction between C 1 and C 2 (Fig. 998); genal carina absent; eyes small 1.0 × as long as malar space (Fig. 887); mesoscutellum (Figs 648, 658) with strong reticulation, meshes isodiametric in posterior half, elongate in anterior half, submedian grooves indistinct and partly absent, slightly curved and diverging towards posterior part, with a ± complete median groove; dorsellum without median carina; propodeum with strong reticulation (Figs 648, 658), callus with six setae; gaster 3.1 × as long as wide, Gt 2 0.3 × as long as Gt 4, tergites with strong reticulation (Figs 648, 658).	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F576BFFC3FE37FA0DFC7B5060.taxon	description	Description (female nontype). Length of body 2.6 mm (specimen measured) (variation in material 2.3 – 3.1 mm). Scape yellowish-brown with dorsal part brown, pedicel and flagellum dark brown. Head with frons bluish-green, antennal scrobes black, clypeus dark brown. Vertex bluish-green. Thoracic dorsum golden-green. Legs with fore and mid coxae black with metallic tinges, hind coxa golden-green; trochanters dark brown; femora black with apex yellowish-brown; fore tibia brown, mid and hind tibiae with basal half brown and apical half yellowish-brown; T 1 – 3 yellowish-brown, T 4 dark brown. Petiole black. Gaster golden-green; gonoplac black. Antenna with a weak constriction between C 1 and C 2. Frons with strong reticulation, clypeal area smooth, antennal scrobes with weak reticulation; without genal carina. Vertex with strong reticulation. Mesoscutum with strong reticulation, meshes isodiametric on sidelobes, elongate on midlobe; midlobe without median groove, with seven scattered adnotaular setae. Mesoscutellum with strong reticulation, meshes isodiametric in posterior half, elongate in anterior half; submedian grooves indistinct and partly absent, slightly curved and diverging towards posterior part; with a ± complete median groove; frenal groove wide and subdivided by carinae; with an expanded and strongly reticulate part behind frenal groove. Dorsellum with strong reticulation. Propodeum with a strong and relatively wide median carina that expands posteriorly; callus with six setae. Fore and hind coxae with strong reticulation, mid coxa with weak reticulation; hind coxa with a carina along posterior margin. Fore wing with five setae on dorsal surface of submarginal vein; speculum open. Petiole very short, just a narrow band. Gaster elongate; tergites with strong reticulation. Relative measurements: head length, dorsal view 21; head length, frontal view 41; POL 13; OOL 7; lateral ocellus diameter 4; head width 50; mouth width 16; malar space 18; eye length 18; scape length 21; scape width 4; pedicel + flagellum length 50; pedicel length 7.5; pedicel width, dorsal view 4; F 1 length 8; F 1 width 5; F 2 length 7; F 2 width 6; F 3 length 6.5; F 3 width 6; clava length 17; clava width 7; C 3 length 5; spicule length 1; mesosoma length 62; mesosoma width 44; midlobe of mesoscutum length 24; mesoscutellum length 22; mesoscutellum width 21; median part of mesoscutellum width (measured medially) nm; median part of mesoscutellum, width in anterior part nm; median part of mesoscutellum, width in posterior part nm; lateral part of mesoscutellum (measured medially) nm; dorsellum length 3.5; propodeum length 8; costal cell length 34; costal cell width (measured at widest part) 2.5; marginal vein length 36; stigmal vein length 10.5; gaster length 124; gaster width 40; Gt 2 length (measured medially) 6.5; Gt 4 length (measured medially) 20; Gt 7 length (measured medially) 23; Gt 7 width (measured at base) 15; longest cercal seta length 11; shortest cercal seta length 5. Male. Length of body 1.6 – 1.8 mm. Antenna (Fig. 998) with scape dark brown, elongate with dorsal and ventral edges ± parallel; plaque dark brown and situated in apical half of scape; dorso-basal whorls of long setae present on F 1 – F 4 and C 1. Gaster long ovate. Otherwise as in female. Relative measurements: head length, dorsal view 17; head length, frontal view 32; head width 44; mouth width 14; malar space 14; eye length 16; scape length 22; scape width 4.5; plaque length 9; pedicel length 6.5; pedicel + flagellum length 70; F 1 length 6; F 1 width 4; F 2 length 11; F 2 width 5; F 3 length 12; F 3 width 4.5; F 4 length 11.5; F 4 width 4; clava length 23; clava width 4; mesosoma length 57; mesosoma width 39; gaster length 66; gaster width 30; longest subbasal seta on F 1, length 28.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F576BFFC3FE37FA0DFC7B5060.taxon	biology_ecology	Hosts. Reared from Asphondylia sp. (Diptera: Cecidomyiidae) on Ambrosia psilostachya (Asteraceae), and an unidentified Cecidomyiidae on Xanthium sp. (Asteraceae).	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F576BFFC3FE37FA0DFC7B5060.taxon	distribution	Distribution. U. S. A. (Florida (Walker 1847), Oklahoma, Texas (new records )).	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F576BFFC3FE37FA0DFC7B5060.taxon	materials_examined	Material examined. Type material: lectotype ♀ (NHMUK). Additional material (14 ♀ 7 ♂, MZLU, NHMUK): 13 ♀ 7 ♂ from U. S. A., Oklahoma, Payne Co., Mehan, 36.014339 ° N, - 96.996774 ° W, 10. viii. 2016, ex Asphondylia (Diptera: Cecidomyiidae) on Ambrosia psilostachya (Asteraceae), M. W. Palmer (MZLU, NHMUK); 1 ♀ U. S. A., Texas, Navasota, v. 1935, ex Cecidomyiidae on Xanthium, L. H. Hitchcock.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5769FFC2FE28FC65FD2E567F.taxon	description	(Figs 662, 663)	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5769FFC2FE28FC65FD2E567F.taxon	diagnosis	Diagnosis (female). Antenna with a solid clava (Fig. 663); genal carina absent; mesoscutellum with strong reticulation, meshes elongate, submedian grooves indistinct and hardly visible (Fig. 662); dorsellum without median carina; hind coxa without carina along posterior margin; tibiae dark brown with apex yellowish-brown (Fig. 663); gaster 2.4 × as long as wide, medio-basal Gt 1 with upper margin rounded, without carinae or edges, tergites with strong reticulation (Fig. 662).	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5769FFC2FE28FC65FD2E567F.taxon	description	Redescription (female lectotype). Length of body 2.1 mm. Scape brown, pedicel and flagellum dark brown. Head and body black with metallic tinges. Legs with coxae black with metallic tinges; trochanters dark brown; femora dark brown; tibiae dark brown with apex yellowish-brown; T 1 – 3 pale brown, T 4 dark brown. Petiole not visible on type. Gaster with gonoplac black. Antenna with solid clava. Frons with strong reticulation, clypeal area smooth, antennal scrobes with weak reticulation; genal carina absent. Vertex with strong reticulation. Mesoscutum with strong reticulation, meshes isodiametric on sidelobes, elongate on midlobe; midlobe without a median groove, adnotaular setae not possible to see on type. Mesoscutellum with strong reticulation, meshes elongate; submedian grooves indistinct. Dorsellum with strong sculpture, without median carina. Propodeum with a strong median carina, with strong reticulation; callus with eight setae. Fore and hind coxae with strong reticulation, mid coxa with weak reticulation; hind coxa without carina along posterior margin. Fore wing with four setae on dorsal surface of submarginal vein; speculum closed; costal setal row unbroken. Petiole not visible on type. Gaster elongate; tergites with strong reticulation. Relative measurements: head length, dorsal view 25; head length, frontal view 48; POL 15; OOL 7; lateral ocellus diameter 4; head width 55; mouth width 19; malar space 14; eye length 24; scape length 25; scape width 4.5; pedicel + flagellum length 60; pedicel length 10; pedicel width, dorsal view 4; F 1 length 10; F 1 width 6; F 2 length 9.5; F 2 width 7.5; F 3 length 7; F 3 width 7; clava length 20; clava width 7.5; C 3 length nm; spicule length nm; mesosoma length 72; mesosoma width 51; midlobe of mesoscutum length 25.5; mesoscutellum length 28; mesoscutellum width 22; median part of mesoscutellum width (measured medially) nm; median part of mesoscutellum, width in anterior part nm; median part of mesoscutellum, width in posterior part nm; lateral part of mesoscutellum (measured medially) nm; dorsellum length 4; propodeum length 12; costal cell length 39; costal cell width (measured at widest part) 2; marginal vein length nm; stigmal vein length nm; gaster length 110; gaster width 45; Gt 2 length (measured medially) 6; Gt 4 length (measured medially) 17; Gt 7 length (measured medially) 17; Gt 7 width (measured at base) 15; longest cercal seta length nm; shortest cercal seta length nm. Male. Unknown.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5769FFC2FE28FC65FD2E567F.taxon	biology_ecology	Host s. Reared from Asphondylia borrichiae Rossi & Strong (Stiling et al. 1992), A. helianthiglobulus Osten Sacken (Burks 1979), Rhopalomyia sp. (Burks 1979). All hosts are Cecidomyiidae (Diptera).	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5769FFC2FE28FC65FD2E567F.taxon	distribution	Distribution. U. S. A. (Florida) (Walker 1847), (District of Columbia & Florida) (Ashmead 1888).	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5769FFC2FE28FC65FD2E567F.taxon	materials_examined	Material examined. Lectotype female of T. haemon in NHMUK.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5768FFC5FE0FFA6DFED55058.taxon	description	(Figs 676, 677)	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
